case,vbat,load_uA,hv_mean,hv_min,hv_max,ripple_pp,startup_ms,peak_switch_v,peak_inductor_mA,input_mA,power_stage_efficiency,within_360_440
v1.8_load0,1.8,0.0,399.34345252601855,397.635084,401.312453,3.6773689999999988,95.6203516,101.697643,32.6765896,0.9314683799943755,0.7183347650409088,True
v1.8_load1,1.8,1.0,399.3625697697716,397.597165,401.303809,3.706643999999983,104.72046,101.687979,32.6767609,1.2338580634672536,0.722156099959698,True
v1.8_load5,1.8,5.0,399.1196122716452,394.821433,401.215416,6.3939829999999915,200.92041999999998,101.629625,32.6416317,2.5113248222401143,0.7076046772394806,True
v1.8_load20,1.8,20.0,218.77548753709956,218.175543,220.604181,2.4286380000000065,,57.8126747,32.6415342,3.193788366376469,0.8239915844596931,False
v2.4_load0,2.4,0.0,399.29601508407126,397.63131,402.22234,4.591029999999989,45.1204561,103.093855,43.5292545,0.6154612459282691,0.8151784365808289,True
v2.4_load1,2.4,1.0,399.2719248848773,397.547221,402.09387,4.546649000000002,46.8203554,103.106851,43.529309600000005,0.8209125465217858,0.8137452554933022,True
v2.4_load5,2.4,5.0,399.28854390944235,397.224672,402.201748,4.977076000000011,55.2204097,103.066522,43.5294052,1.6514249884174363,0.8075106776259364,True
v2.4_load20,2.4,20.0,354.06459491809125,352.240413,356.655322,4.414909000000023,,91.9511298,43.5297317,4.102199457095049,0.8154213350319878,False
v3.2_load0,3.2,0.0,399.3730625316891,397.644041,403.863039,6.218997999999999,24.0204561,105.540959,58.0916949,0.47463809341081903,0.7930857376033789,True
v3.2_load1,3.2,1.0,399.42305102611266,397.553314,403.847387,6.294073000000026,24.4205373,105.618137,58.0918263,0.6039317338553178,0.8301316548212734,True
v3.2_load5,3.2,5.0,399.50511887967787,397.410076,403.771497,6.361421000000007,26.320503,105.543097,58.091952500000005,1.1906887938133515,0.8406100825544658,True
v3.2_load20,3.2,20.0,399.2132952207799,396.320573,403.632624,7.312050999999997,38.5205075,105.396389,58.0918893,3.438428453874033,0.8350359660944845,True
half_cap,2.4,1.0,399.49491577452443,397.400068,403.860822,6.4607540000000085,24.720456799999997,105.657484,43.5688999,0.837815810742849,0.7981088853766937,True
high_dcr,1.8,5.0,367.23731044106034,359.470275,373.090166,13.619890999999996,,94.5196584,30.2452858,2.6612738043996775,0.5959548813496893,False
low_L,3.2,1.0,399.38524481846906,397.553212,403.969585,6.416373000000021,20.520470200000002,106.744856,70.8492797,0.6142803518216303,0.8160112745249793,True
high_L,1.8,5.0,369.6475996954911,361.87542,375.489462,13.614041999999984,,95.1065365,27.6550786,2.2765906125012942,0.7028696199478335,True
